id,title,subtitle,authors,language,genre,published_date,page_count
1499,Ein Mann zum Träumen.,,Friederike Costa,en,,1999,190.0
1500,Der Richter und sein Henker,,Friedrich Dürrenmatt,de,Classics | Fiction | European Literature | German Literature | Mystery | Crime | Mystery | Academic | School | Academic | Read For School | Literature | Novels | Literature | 20th Century,1984,153.0
1501,Spurlos,Neues aus dem Bermuda-Dreieck,Charles Berlitz | Joseph Manson Valentine,de,,1980,223.0
1502,Alltag in Moskau,,Lois Fisher-Ruge,de,Nonfiction,1986,203.0
1503,Dunst und andere unheimliche Geschichten,,Stefan Grabiński,de,,1989,273.0
1504,Die Tote hinter der Nightwood-Bar,,Katherine V. Forrest | Gabriela Mischkowski,de,Mystery | LGBT | LGBT | Lesbian | Fiction | Mystery | Crime | Lesbian | Lesbian Fiction | LGBT | Queer | Literature | American | Thriller | Mystery Thriller | Emergency Services | Police,1989,224.0
1505,Kettenreaktion,das Drama der Atomphysiker,Jost Herbig,de,,1979,514.0
1506,El Limón,,Mohammed Mrabet | Lilian Faschinger,de,,1992,156.0
1507,Das Russland-Girl,Kriminalroman,Jerry Cotton,de,,2000,254.0
1508,"Wenn du geredet hättest, Desdemona",ungehaltene Reden ungehaltener Frauen,Christine Brückner,de,Short Stories | European Literature | German Literature,1996,207.0
1509,Mildernde Umstände,Roman,Nancy Taylor Rosenberg,de,Mystery | Fiction | Thriller | Legal Thriller | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Suspense | Novels,1995,415.0
1510,Die Rose von Kimberley,Roman,Ashley Carrington | Rainer M. Schröder,de,,1996,351.0
1511,Zuckerpüppchen und die Zeit danach,,Heidi Hassenmüller,de,,1995,416.0
1512,Mord in Marbella.,,G. K. Preston,de,,1998,236.0
1513,Roßbreiten,Thriller,Robert Ferrigno,de,,1992,329.0
1514,Fluch der Seide,Roman,Victoria Holt,de,,1990,376.0
1515,Der Panther jagt im Dämmerlicht,,Wilbur A. Smith,de,,1989,509.0
1516,Vergessene Welt: Jurassic-Park,Roman ; [die Vorlage zum Film von Steven Spielberg],Michael Crichton,de,Fiction | Science Fiction | Thriller | Adventure | Fantasy | Horror | Animals | Dinosaurs | Science Fiction Fantasy | Suspense | Novels,1997,479.0
1517,Die Dinge des Lebens,Roman,Alexandra Jones,de,,2000,653.0
1518,Die Elfensteine von Shannara.,Elfensteine / Druide / Dämonen. Die dreiteilige Fantasy-Saga voll mystischer Wunder und heroischer Abenteuer in einem Band!,Terry Brooks,de,Fantasy | Fiction | Fantasy | Epic Fantasy | Science Fiction Fantasy | Adventure | Fantasy | High Fantasy | Young Adult | Fantasy | Magic | Adult | Childrens,1986,643.0
1519,Die Töchter der Madame Liang,Roman,Pearl S. Buck,de,Fiction | Historical | Historical Fiction | Cultural | China | Classics | Cultural | Asia | Novels | Historical | Literature | Asian Literature | Cultural | Classics | Classic Literature,1975,286.0
1520,Die Pfaueninsel.,,Anne Rivers Siddons,de,,2001,446.0
1521,Roter Lampion,Roman,C. C. Bergius,de,,1989,299.0
1522,Junge Frau spurlos verschwunden,Roman,Caroline Leavitt,de,,1995,479.0
1523,Solomons sång,,Toni Morrison,sv,,1993,349.0
1524,"Moskau, mon amour",Roman,Robert Littell,de,,1993,350.0
1525,Erste Krokusse,Roman,Andrew Taylor,de,,1998,316.0
1526,Der letzte Tango der Dolores Delgado,,Marele Day,de,Mystery | Crime,1997,255.0
1527,Tangenten,Erzählungen,Greg Bear,de,Science Fiction | Fiction | Short Stories | Anthologies | Collections | Anthologies | Science Fiction Fantasy | Fantasy | Novels | Speculative Fiction | Short Stories | Short Story Collection,1997,301.0
1528,Die TEK-Verschwörung,Science-fiction-Roman,William Shatner,de,Science Fiction | Fiction | Science Fiction Fantasy | Mystery | Thriller | Science Fiction | Cyberpunk | Mystery | Crime | Media Tie In | Star Trek | Novels | Mystery | Noir,1991,219.0
1529,"Ich weiss nur, mein Name ist Steven",,Mike Echols,de,,1993,316.0
1530,Oberflächenspannung,,Greg Snow,de,,1996,396.0
1531,New Orleans,Roman,Belva Plain,de,,1996,541.0
1532,"Ich, Prinzessin Sultana, und meine Töchter",ein Leben hinter tausend Schleiern,Jean P. Sasson,de,Nonfiction | Biography | Autobiography | Memoir | Biography Memoir | History | Feminism | Womens | Religion | Religion | Islam | Biography | Autobiography,1996,286.0
1533,... Band der Marîd Audran-Trilogie,Ein Feuer in der Sonne : Roman ; Science fiction / aus dem Amerikan. übers. von Isabella Bruckmaier,George Alec Effinger,de,Science Fiction | Science Fiction | Cyberpunk | Fiction | Mystery | Mystery | Noir | Speculative Fiction | Mystery | Crime | Science Fiction Fantasy | Thriller | Science Fiction | Dystopia,1991,382.0
1534,Irische Freundschaften,Roman,Maeve Binchy,de,Fiction | Cultural | Ireland | Womens Fiction | Chick Lit | Historical | Historical Fiction | Romance | European Literature | Irish Literature | Adult Fiction | Womens Fiction | Contemporary | Novels,1999,784.0
1535,Eine Affäre in Paris,Roman zum Film,Diane Johnson,de,Fiction | Womens Fiction | Chick Lit | Cultural | France | Romance | Contemporary | Novels | Humor | Travel | Adult Fiction | Literature,2004,382.0
1536,Die Siam-Saphire,,Barbara Cartland,de,,1992,207.0
1537,Schwaben-Messe,,Klaus Wanninger,de,,2000,332.0
1538,Das innere Gesetz,Kriminalroman,Michael Nava,de,Mystery | LGBT | Romance | M M Romance | Mystery | Crime | Fiction | LGBT | Gay | LGBT | Queer | Thriller | Mystery Thriller | Historical | Romance,1997,199.0
1539,Nacht der Schlange,Roman,Graham Watkins,de,Horror,1990,411.0
1540,Aufgerissen,das außergewöhnliche Liebesleben ganz normaler Großstädter,Courtney Weaver,de,,2002,379.0
1541,Die Unsterblichen,Roman,Harold Robbins,de,,1996,351.0
1542,Nutzbare Mineralien,"Eigenschaften, Vorkommen, Gewinnung und Verwendung",Walter Kühnel,de,,1972,232.0
1543,Todes Nähe,,Michael Nava,de,,1998,219.0
1544,"Grey Owl, der Weisse Indianer",Die Geschichte Eines Abenteuerlichen Lebens,Walter Bauer,de,,2000,190.0
1545,drucksachen,Realschule / hrsg. von Malte Dahrendorf [u. a.]. Klasse 10. Hauptbd. . / Dieser Bd. wurde erarb. von Uwe Duske u. a,,de,,1974,215.0
1546,Kaltes Schweigen,ein neuer Fall für Kommissar Fors ; Roman,Mats Wahl,de,Mystery | Crime,2005,317.0
1547,Der Musentempel,ein Krimi aus dem alten Alexandria ; SPQR,John Maddox Roberts,de,Mystery | Historical | Historical Fiction | Historical | Fiction | Mystery | Crime | Mystery | Historical Mystery | Roman | Mystery | Detective | Literature | Ancient | Northern Africa | Egypt,1993,284.0
1548,Killerspiele,Kriminalroman,Pierre Emme,de,,2007,278.0
1549,Bewohnte Frau,Roman,Gioconda Belli,de,Fiction | Feminism | Magical Realism | European Literature | Spanish Literature | Historical | Historical Fiction | Womens | Cultural | Latin American | Novels | Literature | Latin American Literature | Roman,1992,374.0
1550,Die Eisheilige,Roman,Susanne Mischke,de,,2000,293.0
1551,Königin des Südens,Roman,Arturo Pérez-Reverte,de,Fiction | Thriller | Historical | Historical Fiction | European Literature | Spanish Literature | Mystery | Crime | Cultural | Spain | Mystery | Contemporary | Adventure | Suspense,2003,557.0
1552,Um eine Nasenlänge,Roman,Lilli Palmer,de,,1984,400.0
1553,"Weit wie das, Meer",,Nicholas Sparks,de,,1998,
1554,Alle sieben Wellen,Roman,Daniel Glattauer,de,Romance | Fiction | Contemporary | European Literature | German Literature | Womens Fiction | Chick Lit | Roman | Romance | Contemporary Romance | Audiobook | Adult | Novels,2011,219.0
1555,Ett litet välsignat folk,roman,Runa Brar,sv,,1984,227.0
1556,In den Gärten von Monserrate,Roman,Ingeborg Bayer,de,,1995,565.0
1557,Die Schönheit der Geschichte,Roman,"Luik, Viivi",de,,1995,159.0
1558,Haut und Haar,,Linda Jaivin,de,Fiction | Adult Fiction | Erotica | Womens Fiction | Chick Lit | Humor | Novels | Adult | Romance,2006,286.0
1559,Shiokari-Pass,d. Erzählung vom Leben d. Japaners Nagano u. von seiner Liebe zu Fujiko bis zum erschütternden Höhepunkt am Pass,Ayako Miura,de,,1983,276.0
1560,Das Geheimnis der sieben Palmen,Roman,Heinz G. Konsalik,de,,1996,284.0
1561,"Protonen, Elektronen, Phosphorylierung, aktiver Transport",,Rutherford Ness Robertson,de,,1971,111.0
1562,Das Recht auf Rückkehr,Roman,Léon de Winter | Hanni Ehlers,de,European Literature | Dutch Literature | Fiction | Literature | Academic | School | Cultural | Israel | Novels | Roman | Thriller | Science Fiction | Dystopia | Academic | Read For School,2010,549.0
1563,Der Rheinmann-Tausch,Roman,Robert Ludlum,de,Thriller | Fiction | Spy Thriller | Espionage | Mystery | Suspense | Thriller | Spy Thriller | Action | War | Thriller | Mystery Thriller | Adventure,1980,428.0
1564,Wenn die Magnolien wieder blühen,Roman,Jill Marie Landis,de,Romance | Romance | Historical Romance | Historical | Historical Fiction | Military History | Civil War | Historical | War | Fiction,2005,378.0
1565,Nichts ist stärker als die Liebe,Roman,Danielle Steel,de,Romance | Fiction | Historical | Historical Fiction | Romance | Historical Romance | Historical | Womens Fiction | Chick Lit | Contemporary | Drama | Novels | Adult,1998,442.0
1566,Auf Ehre und Gewissen,Roman,Elizabeth George,de,Mystery | Fiction | Mystery | Crime | Thriller | Mystery Thriller | Thriller | Mystery | Detective | European Literature | British Literature | Suspense | Mystery | Murder Mystery | Adult,1992,467.0
1567,Freier Eintritt,Roman,Martha Grimes,de,,1996,223.0
1568,“Ein” Ticket nach New York,,Olivia Goldsmith,de,Fiction | Womens Fiction | Chick Lit | Romance | Humor | Adult Fiction | Adult | Contemporary | Realistic Fiction | Womens Fiction,2000,266.0
1569,Morpheus,Thriller,Jilliane Hoffman,de,Thriller | Mystery | Mystery | Crime | Fiction | Thriller | Legal Thriller | Suspense | Thriller | Mystery Thriller | European Literature | German Literature | Romance | Romantic Suspense | Adult,2006,399.0
1570,Geliebter Feind,Roman,Barbara Victor,de,,1994,317.0
1571,Drei in einem Haus,Roman,Jill Mansell,de,,2003,494.0
1572,Sterne im Sand,,Patricia Shaw,de,,2001,654.0
1573,Venusneid,zwei Romane,Rita Mae Brown,de,Fiction | LGBT | LGBT | Queer | LGBT | Lesbian | Lesbian | Lesbian Fiction | Mystery | Fantasy | Queer | Queer Lit | Feminism | Novels,1999,807.0
1574,Kalte Glut.,,Sidney Sheldon,en,,1991,413.0
1575,"Geliebter, betrogener Mann",Roman,Heinz G. Konsalik,de,,1989,345.0
1576,Todesblues,ein Fall für Tamara Hayle ; Roman,Valerie Wilson Wesley | Gertraude Krueger,de,Mystery | Cultural | African American | Fiction | Mystery | Crime,2001,285.0
1577,Leben heisst jagen,Roman,Robert Goddard,de,,1994,503.0
1578,Die chinesische Heirat,Erzählungen,Pearl S. Buck,de,,1990,222.0
1579,Die Stunde der Wahrheit,,Rebecca Brandewyne,de,,1977,335.0
1580,Stolz und Leidenschaft,Roman,Catherine Coulter,de,Romance | Romance | Historical Romance | Historical | Fiction | Historical | Historical Fiction | Historical | Regency | Historical Romance | Regency Romance | Cultural | Scotland | Adult | Love,1995,316.0
1581,Scarlett,Roman,Alexandra Ripley,de,Historical | Historical Fiction | Fiction | Romance | Classics | Historical | Romance | Historical Romance | Adult Fiction | Adult | Novels | Womens Fiction | Chick Lit,1993,891.0
1582,Magari,Roman,Noel Barber,de,,1991,637.0
1583,Träume im Landhaus,,Jessica Stirling,de,,2004,540.0
1584,Alistair Maclean's tödliches Ziel,Roman,Hugh Miller,de,,1999,300.0
1585,Der Schatten seiner Flügel,Roman,Bruce Fergusson,de,,1990,425.0
1586,Ein Zweig in frischem Triebe,Roman,James F. Powers,de,,1992,336.0
1587,Die Erscheinung,Roman,Danielle Steel,de,Romance | Fiction | Historical | Historical Fiction | Contemporary | Womens Fiction | Chick Lit | Fantasy | Paranormal | Romance | Contemporary Romance | Romance | Historical Romance | Mystery | Historical,2003,351.0
1588,Madame kommt heute später,,Susanna Kubelka,de,,1996,399.0
1589,Die Pflicht zu schweigen,Roman,Sidney Sheldon | Gerhard Beckmann,de,Fiction | Thriller | Mystery | Suspense | Romance | Thriller | Mystery Thriller | Mystery | Crime | Novels | Drama | Contemporary,1996,347.0
1590,"Achtung, giftig!",Roman,Franca Herzfeld,de,,2000,186.0
1591,Mannen under trappan,roman,Marie Hermanson,sv,Thriller | Fiction | European Literature | Swedish Literature | Horror | European Literature | Scandinavian Literature | Literature | Mystery | Thriller | Mystery Thriller,2006,286.0
1592,Goldene Rache,,Alistair MacLean | Simon Gandolfi,de,,1996,346.0
1593,Mein Herz so weiss,Roman,Javier Marías,de,Fiction | European Literature | Spanish Literature | Cultural | Spain | Novels | Literature | Contemporary | Classics | Literature | 20th Century | Literary Fiction | Classics | Modern Classics,1997,348.0
1594,"""Hau ab"", sagte sie","Geschichten über Verführer, Versager, Väter und Verliebte",,de,,1991,278.0
1595,Der kleine Tod,Kriminalroman,Michael Nava,de,Mystery | LGBT | Romance | M M Romance | LGBT | Gay | Fiction | Romance | Mystery | Crime | Historical | Thriller | Mystery Thriller | LGBT | Queer,2002,220.0
1596,Der schwarze Magier,Roman,Susan Hastings,de,Roman | Fantasy,2004,442.0
1597,Von Moab nach Bethlehem,,Lois T. Henderson,de,,1982,302.0
1598,Der Sohn des Donners,,Ellen Gunderson Traylor,de,,1984,325.0
1599,"Guten Tag, Apokalypse!",Ein Politcomic,Rafael Pividal,de,,1981,217.0
1600,Märchenmonds Erben,eine fantastische Geschichte,Wolfgang Hohlbein | Heike Hohlbein,de,,2006,531.0
1601,Nimitz Class.,,Patrick Robinson,en,,2001,491.0
1602,Der Sommer des glücklichen Narren,Roman,Utta Danella,de,,1999,350.0
1603,Yukon-River-Saga,,Andreas Kieling | Irena Bischoff,de,,1997,319.0
1604,"Fischer, wie tief ist das Wasser",ein Küsten-Krimi,Sandra Lüpkes,de,,2003,250.0
1605,Blinde Schuld,Roman,Hinrich Matthiesen,de,,1992,315.0
1606,Hundert 100 Meilen Angst,3 Kriminalromane in e. Bd,Charles Williams,de,,1987,486.0
1607,Das Auge von Sindsche.,,L. László Lö̋rincz,de,Mystery | Crime | Mystery | Fiction | Thriller,1998,477.0
1608,Nur eine tote Schwiegermutter ...,Roman,Dorothy Cannell,de,Mystery | Mystery | Cozy Mystery | Fiction | Humor | Thriller | Mystery Thriller | Womens Fiction | Chick Lit | Audiobook | European Literature | British Literature,1999,335.0
1609,Die Treibjagd,Roman,Louis Charbonneau,de,,1996,251.0
1610,"Der Stoff, aus dem die Männer sind",Roman,Maeve Haran,de,,2005,410.0
1611,Die Stimme,,Judith Merkle Riley,de,Historical | Historical Fiction | Fiction | Historical | Historical | Medieval | Romance | Fantasy | European Literature | British Literature | Romance | Historical Romance | Mystery | Religion,1992,477.0
1612,Amanda,the eleven million mile high dancer : Roman,Carol Hill | Manfred Ohl,de,,1989,557.0
1613,Roter Ara,Roman,José Mauro de Vasconcelos,de,Novels,1999,345.0
1614,Drei Wünsche frei,Roman,Alex Witchel,de,,2003,350.0
1615,Die Frau im Kühlschrank,Kriminalroman,Gunnar Staalesen,de,Mystery | Crime | Fiction | Mystery | European Literature | Scandinavian Literature | Mystery | Detective | Thriller,2000,223.0
1616,Ab durch die Mitte,Roman,Terry McMillan,de,,1995,491.0
1617,Endlich vierzig!,,Norbert Bartnik,de,,1991,160.0
1618,Pflaumenblüten im Schnee,Roman,Liza Dalby,de,Historical | Historical Fiction | Cultural | Japan | Fiction | Historical | Cultural | Asia | Literature | Asian Literature | Asian Literature | Japanese Literature | Poetry | Literature | Womens,2001,637.0
1619,Mordsglück,Roman,Anna Johann,de,,2000,190.0
1620,Zeit des Jasmin,Roman,Jenny Hobbs,de,Fiction,1999,461.0
1621,Tante Julia und der Kunstschreiber,Roman,Mario Vargas Llosa,de,Fiction | Cultural | Latin American | Nobel Prize | European Literature | Spanish Literature | Novels | Literature | Classics | Literature | Latin American Literature | Romance | Literature | 20th Century,1988,391.0
1622,Sex and the city,Roman,Candace Bushnell,de,Womens Fiction | Chick Lit | Fiction | Romance | Contemporary | New York | Adult | Humor | Sexuality | Novels | Adult Fiction,2006,251.0
1623,Wilde Rosen.,,Katie Fforde,de,,2000,446.0
1624,Der Kapitän,Roman,Hinrich Matthiesen,de,,1998,314.0
1625,"Kiss me, Kat",,Claudia Kratochvil,de,,2004,330.0
1626,Das elfte Buch,,Wolfgang Hohlbein,de,Fantasy,2001,477.0
1627,Jacobs Frauen,Roman,Utta Danella,de,,1986,590.0
1628,Elsie's Lebenslust,Roman,Patricia Highsmith,de,Fiction | Mystery | Mystery | Crime | Thriller | Mystery | Noir | Literature | American | Suspense | The United States Of America | Literature | 20th Century | Thriller | Mystery Thriller,1988,357.0
1629,Der Mann von nebenan,Roman,Amelie Fried,de,European Literature | German Literature,2000,333.0
1630,Dämon hinter Spitzenstores.,,Ruth Rendell,de,Mystery | Fiction | Mystery | Crime | Thriller | Suspense | Thriller | Mystery Thriller | European Literature | British Literature | Mystery | Detective | Thriller | Psychological Thriller | Horror,2000,188.0
1631,Das Marine-Corps 01. Shanghai.,,W. E. B. Griffin | William E. Butterworth,de,Fiction | Historical | Historical Fiction | War | Military Fiction | War | Thriller | Historical | Adventure | War | World War II | Suspense | Action,1991,414.0
1632,Der Hauptgewinn.,,Vanessa Davies,de,,2000,255.0
1633,Die Mambo Kings spielen Songs der Liebe,Roman,Oscar Hijuelos,de,,1998,430.0
1634,Scotty im Himmel mit sieben,Roman,Peter Hedges,de,Fiction | Young Adult | Coming Of Age | Novels | Realistic Fiction | Literary Fiction | Contemporary | Drama | Family | Historical | Historical Fiction,2000,286.0
1635,Weihnachten für Verliebte,,Lena Franz,de,,2007,223.0
1636,Die Chaos-Chroniken,Das Weltenschiff / ins Dt. übertr. von Ruggero Leò,Jeffrey A. Carver,de,Science Fiction | Fiction | Space | Space Opera | Science Fiction | Aliens | Science Fiction Fantasy,2003,509.0
1637,Mit Eichenlaub und Schwertern ging eine Welt zugrunde,Roman,Victor Schuller,de,,1981,221.0
1638,Der Drücker.,,Andreas Blechner,de,,1984,148.0
1639,Das Gedächtnis der Wälder,Roman,Charles T. Powers,de,,1997,447.0
1640,Antike,Höhepunkte erotischer Literatur berühmter Autoren,[Anonymus AC04576553],de,,1980,689.0
1641,Melodie eines Sommers,Roman,Ann Brandt,de,,2001,349.0
1642,Die Halidon-Verfolgung,zwei Romane in einem Band,Robert Ludlum,de,,2000,1206.0
1643,Die Muschelsucher,Roman,Rosamunde Pilcher,de,Fiction | Historical | Historical Fiction | Romance | Womens Fiction | Chick Lit | European Literature | British Literature | Historical | Contemporary | Family | Adult Fiction | Novels,1991,703.0
1644,Gai-jin,en roman om Japan,James Clavell,sv,Historical | Historical Fiction | Fiction | Cultural | Japan | Historical | Cultural | Asia | Adventure | Novels | Classics | Literature | Literature | Asian Literature,1994,1149.0
1645,Abels Tochter.,,Jeffrey Archer,de,Fiction | Historical | Historical Fiction | Thriller | Drama | Novels | Mystery | Historical | Politics | Contemporary | Thriller | Mystery Thriller,2002,494.0
1646,Jenseits der Sehnsucht,Roman,Nora Roberts,de,Romance | Science Fiction | Time Travel | Fiction | Romance | Contemporary Romance | Science Fiction | Fantasy | Contemporary | Fantasy | Paranormal | Romance | Category Romance | Category Romance | Harlequin,1990,320.0
1647,Gefrorene Seelen,Roman,Giles Blunt,de,Mystery | Fiction | Mystery | Crime | Cultural | Canada | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Detective | Literature | Canadian Literature | Adult,2003,428.0
1648,Diese eine Freundschaft,Roman,Felice Picano,de,LGBT | Fiction | LGBT | Gay | LGBT | Queer | Historical | Historical Fiction | Gay | Gay Fiction | Romance | M M Romance | Historical | Romance | Contemporary,1997,591.0
1649,Variationen. Die Gefangene der Rebellen,,Natasha Rostova,de,,2004,587.0
1650,Unter dem Zauberdach,,Utta Danella,de,,nan,275.0
1651,Tief im Wald,,Nicholas Condé,de,,1994,445.0
1652,Kalt wie Eisen,Roman,Nicolas Freeling,de,,1987,251.0
1653,Unter tausend Monden,Roman,,de,,2005,44.0
1654,Das Rätsel der Fatima,,Franziska Wulf,de,,2007,414.0
1655,Lucky Boss,Roman,Jackie Collins,de,,1988,476.0
1656,Vampirfeuer,Thriller,David Wellington | Andreas Decker,de,Horror | Paranormal | Vampires | Fiction | Fantasy | Fantasy | Supernatural | Fantasy | Paranormal | Science Fiction | Thriller | Fantasy | Urban Fantasy | Action,2009,382.0
1657,Sturmnacht,Roman,Victoria Holt,de,,1998,334.0
1658,Girls,,Elaine Kagan,de,,1995,414.0
1659,Frau Nebenkrugs Reise,Roman,Hannelore Krollpfeiffer,de,,2001,223.0
1660,Mitte des Lebens,Roman,Luise Rinser,de,Fiction | Literature | 20th Century | European Literature | German Literature,1983,228.0
1661,Weisses Leuchten,Roman,James Lee Burke,de,,1994,377.0
1662,Freispruch,Roman,Manuela Kuck,de,,2010,342.0
1663,Mama,Roman,Terry McMillan,de,Fiction | Cultural | African American | Contemporary | American | African American Literature | Womens Fiction | Chick Lit | Adult Fiction | Drama | Novels | Literature | American | Urban,1996,304.0
1664,Die Wunder eines jeden Tages,Roman,Victor Villaseñor,de,,1996,827.0
1665,Leichtes Spiel,Roman,Bruce Deitrick Price,de,,1995,285.0
1666,Der Aufstieg,,Jeffrey Archer,de,,1993,734.0
1667,Der grosse Bellheim,nach dem Fernsehfilm von Dieter Wedel,Verena Charlotte Harksen | Dieter Wedel,de,,1992,339.0
1668,Heißer als Feuer,Roman,Sandra Brown,de,Romance | Romance | Contemporary Romance | Contemporary | Fiction | Category Romance | Harlequin | Womens Fiction | Chick Lit | Romance | Category Romance | Adult | Roman | Romantic,2009,249.0
1669,Eine entwaffnende Frau,Roman,Ruth Rendell,de,Mystery | Mystery | Crime | Fiction | Mystery | Detective | European Literature | British Literature | Thriller | Thriller | Mystery Thriller | Mystery | Murder Mystery | Novels | Emergency Services | Police,1995,475.0
1670,Mein Herr und Gebieter,Ich war die Begum des Löwen vom Punjab ; Roman,Tahmīna Durrānī,de,Nonfiction | Cultural | Pakistan | Biography | Biography | Autobiography | Autobiography | Memoir | Biography Memoir | Politics | Womens | Cultural | Asia | History,2005,429.0
1671,Edward,Roman aus dem Pleistozän,Roy Lewis,de,,2005,188.0
1672,Tequila sunrise,Roman,Erica Orloff,de,,2003,316.0
1673,Zeiten der Liebe,,Eugen Drewermann,de,,1992,188.0
1674,Die Liebe siegt,,Helen Van Slyke,de,,1993,587.0
1675,Graphic Design School,The Principles and Practices of Graphic Design,David Dabner,en,Design | Reference,2004,192.0
1676,The Original Reiki Handbook of Dr. Mikao Usui,,Mikao Usui | Frank Arjava Petter,en,Spirituality | Nonfiction | Health | Reference | Reference | Research | Philosophy | Metaphysics | Medicine | Alternative Medicine,1999,79.0
1677,Robertson's Practical English-Thai Dictionary,,,en,,199?,317.0
1678,Angstens skygger,,Irwin Shaw,da,,1985,243.0
1679,Blodigt forår,,Philip Shelby,da,,1997,
1680,Stranden,,Alex Garland,da,,2001,
1681,Paradiset,,Liza Marklund | Ina Nielsen,da,Mystery | Crime | Fiction | Mystery | European Literature | Scandinavian Literature | European Literature | Swedish Literature | Thriller | Cultural | Sweden | Suspense | Mystery | Murder Mystery | Thriller | Mystery Thriller,2001,330.0
1682,Zielscheibe des Bösen.,,Judson Philips,de,,1984,188.0
1683,Nur ein Betriebsunfall,Kriminalroman. Dt. von Klaus Prost,William J. Coughlin,de,,1978,187.0
1684,Wind und Regen,,Per Wahlöö,de,,1983,105.0
1685,Fegefeuer,Roman,Sofi Oksanen | Angela Plöger,de,Fiction | Historical | Historical Fiction | European Literature | Finnish Literature | Historical | Contemporary | Novels | European Literature | Scandinavian Literature | Literary Fiction | War | Literature,2010,395.0
1686,Hinter dem Herzen,eine Auswahl aus bekannten und unbekannten Texten,Djuna Barnes,de,,1994,190.0
1687,Monument für John Kaltenbrunner,vom Schlachten des gemästeten Kalbs und vom Aufrüsten der Aufrechten ; Roman,Tristan Egolf,de,Fiction | Contemporary | Novels | Roman | Literature | American | Unfinished | American | Americana | Literature | 20th Century | Humor | Literary Fiction,2002,501.0
1688,Der Traum vom Gold,,Pierre Boileau,de,,1993,156.0
1689,Geliebtes Untier,von Sara und anderen Katzen,Anja Meulenbelt,de,,1993,95.0
1690,In ihrem Schatten,Roman,Anna Murdoch,de,,1989,216.0
1691,Hannibal rising,Roman,Thomas Harris,de,Horror | Fiction | Thriller | Mystery | Crime | Mystery | Thriller | Mystery Thriller | Suspense | Novels | Adult | Audiobook,2008,344.0
1692,Weit wie der Horizont,Roman,Peter Watt,de,Historical | Historical Fiction | Fiction,2002,591.0
1693,Der Tabakhändler,Roman,John Barth,de,,1995,799.0
1694,Brobyggerne [Norwegian],,Jan Guillou,no,Historical | Historical Fiction | Fiction | European Literature | Swedish Literature | Historical | Roman | Cultural | Germany | Cultural | Africa | European Literature | Scandinavian Literature | Audiobook | Literature,2012,
1695,Höhenangst,Roman,Nicci French,de,Thriller | Fiction | Mystery | Mystery | Crime | Suspense | Romance | Thriller | Mystery Thriller | Drama | Cultural | France | European Literature | British Literature,2001,382.0
1696,Heiteres und Schärferes,,Alexander Roda Roda,de,,1972,117.0
1697,Die Gierigen und die Gerechten,Roman,Scott Turow,de,Fiction | Mystery | Thriller | Legal Thriller | Thriller | Mystery | Crime | Thriller | Mystery Thriller | Suspense | Law | Audiobook | Contemporary,2002,543.0
1698,Nullzeit,Roman,Colin Forbes,de,Thriller | Fiction | Spy Thriller | Espionage | European Literature | British Literature | Action,2000,301.0
1699,Kleine Geschenke,E wie Eigennutz ; Roman,Sue Grafton,de,Mystery | Fiction | Mystery | Crime | Thriller | Mystery Thriller | Mystery | Detective | Audiobook | Suspense | Thriller | Mystery | Murder Mystery | Adult,1999,253.0
1700,Italienisch ganz leicht - Rätsel & Übungen für zwischendurch,,Johannes Schumann,it,,2006,144.0
1701,Endlich Nichtraucher!,"der einfache Weg, mit dem Rauchen Schluss zu machen",Allen Carr,de,Nonfiction | Self Help | Psychology | Health | Self Help | Personal Development | Reference | Audiobook | Inspirational | Philosophy | How To,1998,183.0
1702,Denn am Sabbat sollst du ruhen,Roman,Batya Gur,de,Mystery | Cultural | Israel | Fiction | Mystery | Crime | Literature | Jewish | Psychology | Thriller | Thriller | Mystery Thriller | Mystery | Detective | Religion | Judaism,1992,383.0
1703,You'll never walk alone,"ein Fussballmusikroman, warum Bruderliebe unersetzlich ist-- : und wieso Torhütter keine Guitarrenspieler sind",Florian Weber,de,European Literature | German Literature,2006,220.0
1704,Hans sidste dag,,D. M. Devine | Valsō Holm,da,,1970,242.0
1705,Før stormen,,Michael Katz Krefeld,da,,2010,
1706,"Erinnerungen in der Zornigen Ameise an Geburt, Leben, Ansichten und Ende der Anita Drögemöller und Die Ruhe an der Ruhr",Roman,Jürgen Lodemann,de,,1976,387.0
1707,Solen stiger,,Michael Crichton,da,Fiction | Thriller | Mystery | Suspense | Mystery | Crime | Thriller | Mystery Thriller | Cultural | Japan | Science Fiction | Novels | Adventure,1992,377.0
1708,Todesstein 588,Roman,Gerald A. Browne,de,Fiction | Mystery | Suspense | Thriller | Mystery Thriller | Thriller,1988,494.0
1709,Kultura 5 [fünf] und der Rote Morgen,Roman,Hans Hellmut Kirst,de,Fiction | Mystery | Suspense | Thriller | Mystery Thriller | Thriller,1978,285.0
1710,Manhattan Fever,Roman,Catherine Texier,de,,1992,263.0
1711,Die sieben Feuer von Mademoiselle.,,Esther Vilar,de,,2003,240.0
1712,"Ich, Prinzessin aus dem Hause Al Saud",Ein Leben hinter tausend Schleiern,Jean P. Sasson,de,Nonfiction | Biography | Autobiography | Memoir | Biography Memoir | History | Feminism | Womens | Religion | Religion | Islam | Biography | Autobiography,1994,287.0
